,bin,region,samp,syst,up,val
0,ggf 3,fail,TTbar,JES,1,0.038504826203695774
0,ggf 3,fail,TTbar,JES,0,-0.03813187944435381
0,ggf 3,fail,TTbar,JER,1,-0.0011357343329674308
0,ggf 3,fail,TTbar,JER,0,0.0011627306421844175
0,ggf 3,fail,W,JES,1,0.04087668020622792
0,ggf 3,fail,W,JES,0,-0.04646211266468647
0,ggf 3,fail,W,JER,1,-0.0023514402680662183
0,ggf 3,fail,W,JER,0,-0.003738896476698228
0,ggf 3,fail,VV,JES,1,0.04094258654249083
0,ggf 3,fail,VV,JES,0,-0.03972081879743683
0,ggf 3,fail,VV,JER,1,0.00023707500836733786
0,ggf 3,fail,VV,JER,0,0.0006261490779937429
0,ggf 3,fail,VBF,JES,1,0.05698263483797539
0,ggf 3,fail,VBF,JES,0,-0.03289083742198595
0,ggf 3,fail,VBF,JER,1,0.0035968080602555297
0,ggf 3,fail,VBF,JER,0,-0.0044367273191247
0,ggf 3,fail,ZH,JES,1,0.04338925630449575
0,ggf 3,fail,ZH,JES,0,-0.0368143912979666
0,ggf 3,fail,ZH,JER,1,-0.0002039716654260726
0,ggf 3,fail,ZH,JER,0,-0.001666810550059017
0,ggf 3,fail,WH,JES,1,0.045003806158461446
0,ggf 3,fail,WH,JES,0,-0.033982531513343184
0,ggf 3,fail,WH,JER,1,0.002442245700291945
0,ggf 3,fail,WH,JER,0,0.0010969658694535145
0,ggf 3,fail,ttH,JES,1,0.02684975049695293
0,ggf 3,fail,ttH,JES,0,-0.028773344855897443
0,ggf 3,fail,ttH,JER,1,-0.0028959219143793735
0,ggf 3,fail,ttH,JER,0,0.0014506672131173737
0,ggf 3,fail,ggF,JES,1,0.03904560250702094
0,ggf 3,fail,ggF,JES,0,-0.022524013825410916
0,ggf 3,fail,ggF,JER,1,0.005689909886397171
0,ggf 3,fail,ggF,JER,0,0.0020614053428416046
0,ggf 4,pass,ZJetsqq,JES,1,0.01098807101352528
0,ggf 4,pass,ZJetsqq,JES,0,-0.041261424477544995
0,ggf 4,pass,ZJetsqq,JER,1,-0.004992035225387381
0,ggf 4,pass,ZJetsqq,JER,0,-0.010775130374185982
0,ggf 4,pass,ZJetsbb,JES,1,0.050178251555770714
0,ggf 4,pass,ZJetsbb,JES,0,-0.04727455493838062
0,ggf 4,pass,ZJetsbb,JER,1,-0.009066492183979702
0,ggf 4,pass,ZJetsbb,JER,0,0.004482730411822011
0,ggf 4,pass,TTbar,JES,1,0.02110605698032031
0,ggf 4,pass,TTbar,JES,0,-0.04369655162144492
0,ggf 4,pass,TTbar,JER,1,-0.0022659191465919104
0,ggf 4,pass,TTbar,JER,0,-0.010204310293435714
0,ggf 4,pass,W,JES,1,0.08937008115956768
0,ggf 4,pass,W,JES,0,-0.06920850406863288
0,ggf 4,pass,W,JER,1,-0.007803540861639924
0,ggf 4,pass,W,JER,0,0.005519105903620591
0,ggf 4,pass,VV,JES,1,0.04203109573587027
0,ggf 4,pass,VV,JES,0,0.02641944291185494
0,ggf 4,pass,VV,JER,1,-0.010939963105573658
0,ggf 4,pass,VV,JER,0,0.029530842580524297
0,ggf 4,pass,VBF,JES,1,0.03256583356263665
0,ggf 4,pass,VBF,JES,0,-0.024126700225409414
0,ggf 4,pass,VBF,JER,1,0.031245711833209233
0,ggf 4,pass,VBF,JER,0,0.005660800246972242
0,ggf 4,pass,ZH,JES,1,0.08019317156354355
0,ggf 4,pass,ZH,JES,0,-0.03152275602766841
0,ggf 4,pass,ZH,JER,1,0.0009785032692866125
0,ggf 4,pass,ZH,JER,0,0.019096980643497297
0,ggf 4,pass,WH,JES,1,0.07285708766449295
0,ggf 4,pass,WH,JES,0,-0.0218698435582092
0,ggf 4,pass,WH,JER,1,-0.005820035872130869
0,ggf 4,pass,WH,JER,0,0.022360568870654074
0,ggf 4,pass,ttH,JES,1,0.04831198784335844
0,ggf 4,pass,ttH,JES,0,0.0015683530189773975
0,ggf 4,pass,ttH,JER,1,0.006837673951903156
0,ggf 4,pass,ttH,JER,0,0.010897826872495964
0,ggf 4,pass,ggF,JES,1,0.04588596610589035
0,ggf 4,pass,ggF,JES,0,0.016780819413398484
0,ggf 4,pass,ggF,JER,1,0.022259291099484102
0,ggf 4,pass,ggF,JER,0,0.02869809916781385
0,ggf 4,fail,ZJetsqq,JES,1,0.04347171867559174
0,ggf 4,fail,ZJetsqq,JES,0,-0.04419697162099567
0,ggf 4,fail,ZJetsqq,JER,1,-0.0014913326772814095
0,ggf 4,fail,ZJetsqq,JER,0,0.001588485557789232
0,ggf 4,fail,ZJetsbb,JES,1,0.04459050317121038
0,ggf 4,fail,ZJetsbb,JES,0,-0.03779664887882406
0,ggf 4,fail,ZJetsbb,JER,1,-0.0012949827001580427
0,ggf 4,fail,ZJetsbb,JER,0,0.003055525231721923
0,ggf 4,fail,TTbar,JES,1,0.04082009061183456
0,ggf 4,fail,TTbar,JES,0,-0.0383516833405354
0,ggf 4,fail,TTbar,JER,1,-0.0011988214636570182
0,ggf 4,fail,TTbar,JER,0,0.001483447230628654
0,ggf 4,fail,W,JES,1,0.04322699300867283
0,ggf 4,fail,W,JES,0,-0.045083013471989286
0,ggf 4,fail,W,JER,1,-0.0035136156460345846
0,ggf 4,fail,W,JER,0,-0.0019264729692907157
0,ggf 4,fail,VV,JES,1,0.0375388601732527
0,ggf 4,fail,VV,JES,0,-0.03554252887431808
0,ggf 4,fail,VV,JER,1,-0.0007265369593678628
0,ggf 4,fail,VV,JER,0,0.0005078841261241251
0,ggf 4,fail,VBF,JES,1,0.004083221971980855
0,ggf 4,fail,VBF,JES,0,-0.010852664646064714
0,ggf 4,fail,VBF,JER,1,0.01106137090516146
0,ggf 4,fail,VBF,JER,0,0.023961808731796985
0,ggf 4,fail,ZH,JES,1,0.02414389131834671
0,ggf 4,fail,ZH,JES,0,-0.030410090728876682
0,ggf 4,fail,ZH,JER,1,-0.0026938965240745905
0,ggf 4,fail,ZH,JER,0,-0.0015806505808825255
0,ggf 4,fail,WH,JES,1,0.030378189917264375
0,ggf 4,fail,WH,JES,0,-0.045797394460632024
0,ggf 4,fail,WH,JER,1,-0.0061074273784491595
0,ggf 4,fail,WH,JER,0,-0.0017338639312907134
0,ggf 4,fail,ttH,JES,1,0.036628634172285235
0,ggf 4,fail,ttH,JES,0,-0.02814609550450642
0,ggf 4,fail,ttH,JER,1,-0.0004563636959097339
0,ggf 4,fail,ttH,JER,0,0.004364121163911827
0,ggf 4,fail,ggF,JES,1,0.043143182999965335
0,ggf 4,fail,ggF,JES,0,-0.05932786032466575
0,ggf 4,fail,ggF,JER,1,-0.011364209937256398
0,ggf 4,fail,ggF,JER,0,0.00017681474800079755
0,ggf 5,pass,ZJetsqq,JES,1,0.03618055658501529
0,ggf 5,pass,ZJetsqq,JES,0,-0.018424783748631546
0,ggf 5,pass,ZJetsqq,JER,1,-0.0035868600145060325
0,ggf 5,pass,ZJetsqq,JER,0,0.006266862484118008
0,ggf 5,pass,ZJetsbb,JES,1,0.031296869664168
0,ggf 5,pass,ZJetsbb,JES,0,-0.03449604663546035
0,ggf 5,pass,ZJetsbb,JER,1,-0.0037110303137257716
0,ggf 5,pass,ZJetsbb,JER,0,0.0037637266389152213
0,ggf 5,pass,TTbar,JES,1,0.05834325098281634
0,ggf 5,pass,TTbar,JES,0,-0.03805426107105203
0,ggf 5,pass,TTbar,JER,1,-0.0007313081255650999
0,ggf 5,pass,TTbar,JER,0,0.006077175279515901
0,ggf 5,pass,W,JES,1,0.005894187587676125
0,ggf 5,pass,W,JES,0,-0.0017913717808419882
0,ggf 5,pass,W,JER,1,-0.0028747788543392883
0,ggf 5,pass,W,JER,0,0.004157642111682458
0,ggf 5,pass,VV,JES,1,0.02050263630187077
0,ggf 5,pass,VV,JES,0,-0.040316166833217815
0,ggf 5,pass,VV,JER,1,-0.003856788235391484
0,ggf 5,pass,VV,JER,0,-0.0029935120281581185
0,ggf 5,pass,VBF,JES,1,0.037612790191093426
0,ggf 5,pass,VBF,JES,0,-0.03917127678874488
0,ggf 5,pass,VBF,JER,1,-0.017035302283993747
0,ggf 5,pass,VBF,JER,0,0.002110330580547215
0,ggf 5,pass,ZH,JES,1,0.031030922290819607
0,ggf 5,pass,ZH,JES,0,-0.032412397562047834
0,ggf 5,pass,ZH,JER,1,-0.004276126811239234
0,ggf 5,pass,ZH,JER,0,0.005877347778518116
0,ggf 5,pass,WH,JES,1,0.02345660469550981
0,ggf 5,pass,WH,JES,0,-0.03590260651679
0,ggf 5,pass,WH,JER,1,-0.005424537025630394
0,ggf 5,pass,WH,JER,0,0.0016562200098186874
0,ggf 5,pass,ttH,JES,1,0.021543401525889072
0,ggf 5,pass,ttH,JES,0,-0.042867924981836336
0,ggf 5,pass,ttH,JER,1,-0.009117148845455225
0,ggf 5,pass,ttH,JER,0,0.002062206343816486
0,ggf 5,pass,ggF,JES,1,0.044357156372434536
0,ggf 5,pass,ggF,JES,0,-0.0360408073440599
0,ggf 5,pass,ggF,JER,1,-0.0031126513202047734
0,ggf 5,pass,ggF,JER,0,0.005702609406593062
0,ggf 5,fail,ZJetsqq,JES,1,0.04166785051756894
0,ggf 5,fail,ZJetsqq,JES,0,-0.04001917994535398
0,ggf 5,fail,ZJetsqq,JER,1,-0.004196195222256449
0,ggf 5,fail,ZJetsqq,JER,0,0.004289745883367058
0,ggf 5,fail,ZJetsbb,JES,1,0.04136464483164026
0,ggf 5,fail,ZJetsbb,JES,0,-0.040733579316338586
0,ggf 5,fail,ZJetsbb,JER,1,-0.0034745745324548105
0,ggf 5,fail,ZJetsbb,JER,0,0.0035096071305129595
0,ggf 5,fail,TTbar,JES,1,0.04205053670983072
0,ggf 5,fail,TTbar,JES,0,-0.04005307856583307
0,ggf 5,fail,TTbar,JER,1,-0.0028347269300954547
0,ggf 5,fail,TTbar,JER,0,0.002684099640157589
0,ggf 5,fail,W,JES,1,0.040411919659541384
0,ggf 5,fail,W,JES,0,-0.0380728424200274
0,ggf 5,fail,W,JER,1,-0.0019619185009130957
0,ggf 5,fail,W,JER,0,0.0037113127795227463
0,ggf 5,fail,VV,JES,1,0.041309686476329155
0,ggf 5,fail,VV,JES,0,-0.03850235779251554
0,ggf 5,fail,VV,JER,1,-0.002312878073231217
0,ggf 5,fail,VV,JER,0,0.0027934826975024585
0,ggf 5,fail,VBF,JES,1,0.04957559149625368
0,ggf 5,fail,VBF,JES,0,-0.03543878365044739
0,ggf 5,fail,VBF,JER,1,-0.008384343209934975
0,ggf 5,fail,VBF,JER,0,0.00010646583670714804
0,ggf 5,fail,ZH,JES,1,0.037063782962679426
0,ggf 5,fail,ZH,JES,0,-0.03276465541714213
0,ggf 5,fail,ZH,JER,1,-0.0036393999185057035
0,ggf 5,fail,ZH,JER,0,0.005820198818315303
0,ggf 5,fail,WH,JES,1,0.04124061391582523
0,ggf 5,fail,WH,JES,0,-0.034864390170911586
0,ggf 5,fail,WH,JER,1,-0.0031109384945952057
0,ggf 5,fail,WH,JER,0,0.005820380989573604
0,ggf 5,fail,ttH,JES,1,0.033184736360436284
0,ggf 5,fail,ttH,JES,0,-0.03539306851475721
0,ggf 5,fail,ttH,JER,1,-0.005104641290759049
0,ggf 5,fail,ttH,JER,0,0.003822061209649119
0,ggf 5,fail,ggF,JES,1,0.033076462553047525
0,ggf 5,fail,ggF,JES,0,-0.035921415471924845
0,ggf 5,fail,ggF,JER,1,-0.0056649383181816
0,ggf 5,fail,ggF,JER,0,0.00680022830571847
