#Data tag : 23v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
357440:8124,08/13/22 18:04:46,354,354,122117836.595018342,115002499.019984365
357441:8124,08/13/22 20:25:23,83,83,25720587.643989354,25019812.719080690
357442:8124,08/13/22 21:03:01,1373,1373,321784248.767778754,313360079.775762081
357447:8125,08/14/22 08:45:20,11,11,2795094.707467003,2433810.006819391
357472:8128,08/14/22 20:42:00,27,27,7556258.602508591,7269330.765691623
357478:8128,08/15/22 05:49:42,8,8,2292350.057212324,1626275.285783311
357479:8128,08/15/22 05:54:43,1046,1046,349144410.241199017,331908025.410990238
357482:8128,08/15/22 12:48:28,205,205,51905516.383872516,50432329.128572650
357538:8132,08/15/22 22:37:19,25,25,6671805.786622585,5483877.910545846
357542:8132,08/15/22 22:57:04,251,251,93121882.544638813,84347494.364968464
357550:8132,08/16/22 00:37:57,36,36,12998417.799628388,11864760.752366390
357610:8136,08/17/22 07:34:23,191,191,48530802.909486033,45660268.100042246
357611:8136,08/17/22 08:50:12,412,412,116954400.808519080,111390495.941559792
357612:8136,08/17/22 11:32:56,736,736,163734085.400052935,157136746.170320630
357613:8136,08/17/22 16:22:26,256,256,47225288.787487634,46067797.214938618
357688:8142,08/19/22 03:18:59,380,380,140845123.332744300,130475572.664631024
357696:8143,08/19/22 08:53:22,359,359,133664512.046546578,124224025.788871080
357697:8143,08/19/22 11:24:42,39,39,14090476.991118133,12770761.047087690
357698:8143,08/19/22 11:56:20,63,63,21794162.256055918,18745332.262284499
357699:8143,08/19/22 12:23:21,30,30,10053670.819157314,9283920.734454796
357700:8143,08/19/22 12:36:51,757,757,216673795.821945816,210724613.617754400
357701:8143,08/19/22 17:34:11,310,310,71163649.781242579,69809189.918750495
357705:8143,08/19/22 20:48:46,202,202,40405949.225349091,38924156.462343663
357706:8143,08/19/22 22:11:20,161,161,27750637.253408503,27146058.177869480
357720:8144,08/20/22 01:22:19,61,61,19258516.081752338,17957058.147473074
357732:8146,08/20/22 12:01:56,128,128,47329447.948565818,41298531.648906417
357734:8146,08/20/22 13:04:44,300,300,118476244.987431481,109791915.405074030
357735:8146,08/20/22 15:02:37,1123,1123,333200909.396562099,321631745.947460890
357754:8147,08/21/22 00:52:35,117,117,38272307.733731568,33659912.759356678
357756:8147,08/21/22 01:44:38,425,425,159631355.805202067,149673172.500764400
357757:8147,08/21/22 04:31:13,9,9,3055810.711416467,2136323.644477684
357758:8147,08/21/22 04:37:20,85,85,28132088.851428583,25472973.739719979
357759:8147,08/21/22 05:12:43,70,70,22236233.354211915,20668873.194568820
357766:8148,08/21/22 09:27:46,115,115,41865002.645338885,37134565.809724882
357777:8148,08/21/22 16:05:36,85,85,24120972.531478118,23462436.416531947
357778:8148,08/21/22 16:43:18,359,358,92451262.958162412,87988239.470221817
357779:8148,08/21/22 19:05:47,74,74,17514031.507459290,16984839.706173081
357781:8148,08/21/22 19:44:36,10,10,2269276.118063566,2104066.428489688
357802:8149,08/21/22 22:59:37,164,164,58177887.344153568,53533075.964590073
357803:8149,08/22/22 00:05:02,153,153,56392191.594111316,53207580.463655114
357804:8149,08/22/22 01:06:52,23,23,8503256.677470692,7771355.031440870
357805:8149,08/22/22 01:17:38,88,88,31638835.556842625,29887572.897209868
357806:8149,08/22/22 01:53:44,56,56,16999489.598912403,15762454.078133062
357807:8149,08/22/22 02:20:46,244,244,82498147.228184223,78721668.227152035
357808:8149,08/22/22 03:57:54,17,17,5352865.530806292,4359292.823756796
357809:8149,08/22/22 04:06:38,41,41,12862894.485479144,12166597.079271583
357812:8149,08/22/22 04:23:37,50,50,15405856.752291817,14700530.339873593
357813:8149,08/22/22 04:44:13,293,293,84209523.224674925,80145283.420884937
357814:8149,08/22/22 06:39:13,212,212,55225239.183373071,51516054.517102234
357815:8149,08/22/22 08:04:22,944,944,201623834.116634816,196389545.003680617
357898:8151,08/23/22 04:26:33,313,313,113749818.997467861,106365826.155792490
357899:8151,08/23/22 06:29:12,637,637,197791139.472592294,188409175.501731247
357900:8151,08/23/22 10:38:20,516,516,125032558.167714432,119376358.115673974
359569:8210,09/29/22 16:40:17,83,83,1350815.692811037,1328969.774578128
359571:8210,09/29/22 17:29:19,153,153,2434319.053016969,2376289.600340213
359575:8210,09/29/22 18:41:25,83,83,1300656.375111037,1280168.104126109
359595:8211,09/30/22 02:53:50,273,273,6448820.276425977,6321708.881516377
359597:8211,09/30/22 04:45:13,94,94,2184781.567824665,2157374.026060801
359602:8212,09/30/22 07:24:24,74,74,5967328.549167138,5496977.082214586
359609:8212,09/30/22 10:00:32,25,25,2070198.121682121,1692232.520168473
359612:8212,09/30/22 10:31:57,12,12,959070.802665345,768442.592916955
359661:8214,09/30/22 16:54:53,81,81,9660301.022551408,9176705.325200116
359685:8216,10/01/22 00:05:59,132,132,21253565.578023925,21045058.471344251
359686:8216,10/01/22 01:11:45,934,934,115857073.130935863,114976578.125936240
359691:8220,10/01/22 12:46:50,121,121,38740296.170465626,37002384.471884236
359693:8220,10/01/22 14:12:09,604,604,170188417.052103341,164149443.645113647
359694:8220,10/01/22 18:13:37,1080,1080,223075944.169946134,217971307.484771222
359699:8221,10/02/22 04:39:50,1856,1856,426714497.614306569,413549100.238624334
359718:8222,10/02/22 22:52:32,366,366,127135453.394115075,122075269.676290929
359750:8223,10/03/22 13:38:36,135,135,50297424.015302889,48556766.365719341
359751:8223,10/03/22 15:00:20,993,993,321074442.495742261,307563294.929608107
359762:8225,10/04/22 01:15:14,223,223,84255769.910405770,80580916.798117802
359763:8225,10/04/22 02:48:18,458,458,158200098.565550476,152183377.226957232
359764:8225,10/04/22 06:05:26,1084,1084,266846259.161473483,257530010.317362785
